feature 2;cg12045430;WASH5P
feature 258835;cg03783925;TSPAN15
feature 29457;cg26799398;ECM1
feature 144148;cg18507379;PCDHGA4
feature 242453;cg14287170;NOL8
feature 144153;cg07017875;PCDHGA4
feature 78620;cg00005849;null
feature 258845;cg12610070;TSPAN15
feature 439078;cg20683754;IGFLR1
feature 62240;cg20340242;IL1R2
feature 127779;cg12833872;SLC9A3
feature 357153;cg20592017;null
feature 422702;cg15116677;MAPK4
feature 373549;cg04537050;null
feature 357165;cg18494902;BMF
feature 373548;cg05975881;null
feature 275246;cg15803845;BRSK2
feature 258860;cg26333837;NEUROG3
feature 291637;cg10405205;CTTN
feature 406320;cg07661564;null
feature 45880;cg10240356;null
feature 144187;cg27630202;PCDHGA4
feature 78648;cg11612786;null
feature 340794;cg06796435;LTB4R2
feature 389946;cg08122953;CBFA2T3
feature 471864;cg02687592;KIAA1644
feature 29504;cg26118326;MCL1
feature 144195;cg10679597;PCDHGA4
feature 13122;cg22351924;IFI6
feature 324423;cg03885975;null
feature 291648;cg11194613;CTTN
feature 291649;cg27326318;CTTN
feature 209733;cg26337821;WASL
feature 95046;cg27504195;SIDT1
feature 275267;cg02923888;null
feature 422732;cg20227886;ME2
feature 144204;cg21928406;PCDHGA4
feature 471880;cg12001887;LDOC1L
feature 439126;cg01915791;HSPB6
feature 439127;cg13558754;HSPB6
feature 29521;cg17724175;MCL1
feature 242517;cg20163243;ANKRD19P
feature 209759;cg13363025;HYAL4
feature 160604;cg27204262;TRIM26
feature 62303;cg19642470;null
feature 373605;cg10256349;ZNF213
feature 291684;cg06699669;null
feature 78688;cg01518113;ASB18
feature 422757;cg03255741;SMAD4
feature 373601;cg06893123;ZNF213
feature 471906;cg21293611;PRR5
feature 291682;cg19044550;null
feature 258916;cg20747449;null
feature 226148;cg04228202;AP3M2
feature 275308;cg25376032;null
feature 144232;cg23244790;PCDHGA4
feature 111469;cg24250820;AFAP1
feature 160622;cg09758975;TRIM26
feature 209774;cg05826762;null
feature 439158;cg02456406;null
feature 45938;cg15058956;null
feature 78709;cg13229084;ASB18
feature 144244;cg13023584;PCDHGA4
feature 324466;cg08110542;null
feature 291708;cg15131024;SHANK2
feature 62332;cg27361520;IL18RAP
feature 127871;cg04136185;null
feature 422776;cg18088775;MEX3C
feature 95105;cg15655154;GRAMD1C
feature 340868;cg12177793;NFATC4
feature 29569;cg00253735;CTSK
feature 455556;cg03191045;null
feature 62338;cg02567476;SLC9A4
feature 226176;cg13880167;PLAT
feature 127874;cg21242232;null
feature 62340;cg03405781;SLC9A4
feature 340864;cg07162820;NFATC4
feature 455552;cg03001863;null
feature 357262;cg27277848;null
feature 291727;cg01935096;SHANK2
feature 160649;cg08850243;TRIM26
feature 340872;cg26846476;NFATC4
feature 373642;cg08289130;null
feature 471944;cg16326073;PRR5
feature 439177;cg21459969;NPHS1
feature 193427;cg27657926;USP42
feature 390039;cg03704006;CBFA2T3
feature 340882;cg20911718;NYNRIN
feature 291740;cg24036292;SHANK2
feature 111515;cg14037937;ABLIM2
feature 242584;cg13707760;WNK2
feature 144286;cg05149776;PCDHGA4
feature 340888;cg08282145;NYNRIN
feature 439195;cg10786645;KIRREL2
feature 78750;cg16844875;null
feature 422809;cg00399483;DCC
feature 193441;cg18419175;USP42
feature 373670;cg05576262;null
feature 357280;cg05547778;PLCB2
feature 144295;cg02056653;PCDHGA4
feature 95142;cg13227806;null
feature 78763;cg22908000;ACKR3
feature 144300;cg00076195;null
feature 324532;cg09812406;STX2
feature 340917;cg13809815;SDR39U1
feature 62385;cg26514942;TMEM182
feature 373684;cg27462519;null
feature 258993;cg09777856;H2AFY2
feature 357296;cg27433395;C15orf52
feature 471985;cg23944102;PHF21B
feature 324530;cg23907926;STX2
feature 455601;cg16648571;BLCAP
feature 78774;cg19450816;null
feature 177077;cg10278699;BACH2
feature 111546;cg20453845;ABLIM2
feature 275384;cg13365972;null
feature 95165;cg09626521;null
feature 177087;cg11559054;BACH2
feature 455608;cg10642330;BLCAP
feature 95166;cg11612799;null
feature 357316;cg17063840;DISP2
feature 127938;cg02244204;CEP72
feature 46021;cg03130248;KIF26B
feature 455619;cg24890964;BLCAP
feature 340930;cg24355048;CTSG
feature 29640;cg18886239;FAM63A
feature 472015;cg21715212;PHF21B
feature 127946;cg16640753;CEP72
feature 111564;cg00861207;ABLIM2
feature 439241;cg16627829;HCST
feature 291787;cg04396791;SHANK2
feature 455639;cg16599045;BLCAP
feature 291792;cg26851107;SHANK2
feature 160726;cg04274844;TRIM26
feature 357328;cg17940694;DISP2
feature 177109;cg02486351;BACH2
feature 439249;cg06707369;TYROBP
feature 127960;cg01010984;CEP72
feature 209880;cg15908975;MIR592
feature 291803;cg06223539;SHANK2
feature 439270;cg15658249;LRFN3
feature 177122;cg10913050;BACH2
feature 275430;cg14909325;null
feature 308192;cg00896347;null
feature 127973;cg14559234;CEP72
feature 226277;cg23583580;SMIM19
feature 308195;cg09571762;null
feature 324588;cg21658267;null
feature 46059;cg03896752;KIF26B
feature 13293;cg04724866;PTAFR
feature 472041;cg05345310;KIAA0930
feature 308214;cg11790681;ABCD2
feature 439280;cg11270237;null
feature 406512;cg09529165;null
feature 422910;cg17318716;TCF4
feature 242683;cg03015790;null
feature 324604;cg22882539;ADGRD1
feature 308221;cg18818135;C12orf40
feature 144377;cg08278266;null
feature 422906;cg03284649;TCF4
feature 29693;cg13842305;MLLT11
feature 95231;cg12335116;ZBTB20
feature 373754;cg16748088;ZNF263
feature 160765;cg16250461;HLA-L
feature 406534;cg24803719;null
feature 62465;cg00001747;null
feature 324614;cg19026802;ADGRD1
feature 455682;cg11703632;null
feature 324611;cg14873958;ADGRD1
feature 95242;cg10239988;ZBTB20
feature 209934;cg08137040;ZNF800
feature 62478;cg20302975;null
feature 291851;cg05402634;SHANK2
feature 291861;cg21201396;SHANK2
feature 406546;cg21463898;OSBPL7
feature 62488;cg12573849;POU3F3
feature 62489;cg15594205;POU3F3
feature 13337;cg02737621;SESN2
feature 324639;cg06820006;ADGRD1
feature 193564;cg09824706;DAGLB
feature 259100;cg17516577;LRRC20
feature 160802;cg10700459;HLA-L
feature 62496;cg05506365;POU3F3
feature 95264;cg12431891;null
feature 95267;cg21092342;null
feature 275494;cg16934127;null
feature 390177;cg16537196;null
feature 373792;cg05215277;ZSCAN32
feature 455715;cg09337248;VSTM2L
feature 193572;cg26780042;KDELR2
feature 357411;cg23365482;CHST14
feature 406561;cg03708990;OSBPL7
feature 111657;cg04605681;SH3TC1
feature 95274;cg03556653;null
feature 341038;cg24725576;null
feature 455723;cg24862550;RPRD1B
feature 439339;cg26493726;CLIP3
feature 29741;cg23612220;TNFAIP8L2
feature 95279;cg27608911;GAP43
feature 29744;cg25306932;LYSMD1
feature 242743;cg03828745;null
feature 324657;cg06947839;ADGRD1
feature 177215;cg12983682;null
feature 390200;cg02893550;null
feature 291899;cg14791525;SHANK2
feature 193602;cg25340758;GRID2IP
feature 209984;cg22029189;null
feature 111682;cg05887630;null
feature 455749;cg16959758;null
feature 341062;cg10828337;FOXG1
feature 390209;cg26595006;null
feature 341057;cg08120263;FOXG1
feature 406606;cg05044743;SP6
feature 226378;cg20400718;FNTA
feature 226377;cg00324592;FNTA
feature 341065;cg16582779;FOXG1
feature 95314;cg27309905;LSAMP
feature 341078;cg04991036;LINC01551
feature 308306;cg03769383;PDZRN4
feature 46173;cg06985779;SMYD3
feature 128092;cg14845909;ZDHHC11
feature 341083;cg03796729;LINC01551
feature 390244;cg10035270;null
feature 78947;cg16426459;MLPH
feature 455780;cg08351331;LBP
feature 324706;cg15922513;ADGRD1
feature 29801;cg02491717;PIP5K1A
feature 13419;cg02931410;RCC1
feature 111724;cg06317090;null
feature 242797;cg21189849;C9orf3
feature 144492;cg04797496;PCDH12
feature 472183;cg01514353;null
feature 193654;cg05022128;C7orf26
feature 373885;cg09934892;CLUAP1
feature 160890;cg02301769;TRIM39
feature 226427;cg04799343;null
feature 95355;cg20094111;null
feature 144505;cg25486472;RNF14
feature 210040;cg08625996;SND1
feature 259199;cg02937751;PRF1
feature 177280;cg01758512;FUT9
feature 78979;cg08753706;RAB17
feature 324743;cg26150582;ADGRD1
feature 472193;cg12003064;null
feature 95370;cg04895854;null
feature 144526;cg10927534;GNPDA1
feature 29841;cg01974375;PI4KB
feature 472210;cg22343728;null
feature 472208;cg03741889;null
feature 226457;cg00284708;POTEA
feature 406685;cg19715081;CDK5RAP3
feature 472219;cg00949386;WNT7B
feature 111776;cg26004639;ACOX3
feature 406693;cg19585797;null
feature 144551;cg09883264;NDFIP1
feature 29861;cg17278771;RFX5
feature 95400;cg23033158;null
feature 193704;cg05318600;null
feature 111786;cg07211020;ACOX3
feature 357545;cg09091752;DNAJC17
feature 29869;cg24480379;SELENBP1
feature 95407;cg15453392;null
feature 275626;cg05409391;LSP1
feature 210092;cg00002531;SND1
feature 79022;cg09037813;LRRFIP1
feature 62640;cg01785449;C2orf49
feature 62644;cg06320277;FHL2
feature 95412;cg27182476;null
feature 275634;cg17501754;LSP1
feature 357554;cg01392184;ZFYVE19
feature 46263;cg07139495;null
feature 373956;cg01203113;DNASE1
feature 275653;cg02597644;LSP1
feature 275650;cg22656544;LSP1
feature 79046;cg12251803;LRRFIP1
feature 455887;cg04961101;null
feature 423119;cg03604930;NEDD4L
feature 242889;cg13754720;PTCH1
feature 242895;cg26878949;PTCH1
feature 373973;cg02264195;TRAP1
feature 242899;cg03309252;null
feature 242903;cg14286256;null
feature 357584;cg12787209;SPINT1
feature 390365;cg08551036;ACSF3
feature 324830;cg20339843;null
feature 242911;cg13446420;null
feature 29917;cg20077393;CGN
feature 79075;cg03257608;RBM44
feature 373990;cg00735744;TRAP1
feature 46307;cg10884885;LINC01341
feature 29924;cg21157873;CGN
feature 324833;cg13032902;null
feature 79081;cg21103250;RBM44
feature 373999;cg07553079;null
feature 95467;cg24037746;C3orf30
feature 390383;cg08653945;LINC00304
feature 13549;cg19715410;OPRD1
feature 357623;cg25454569;null
feature 455924;cg00986050;ACTR5
feature 374006;cg03879109;CREBBP
feature 423154;cg00481280;MIR122
feature 357630;cg16836355;null
feature 62715;cg20703928;NCK2
feature 275704;cg18032502;TNNT3
feature 177405;cg13162690;null
feature 324866;cg21841501;null
feature 455936;cg27377213;PPP1R16B
feature 472334;cg26422762;MIRLET7BHG
feature 29963;cg23609082;SNX27
feature 242958;cg14363469;null
feature 357653;cg14209037;DLL4
feature 275742;cg19273253;MRPL23
feature 46363;cg09675653;ZNF670
feature 144670;cg07206630;FGF1
feature 472345;cg15702185;MIRLET7A3
feature 308507;cg03689601;PUS7L
feature 210208;cg05928806;PRRT4
feature 62755;cg02067350;NCK2
feature 275745;cg10113191;MRPL23
feature 374050;cg05557932;CREBBP
feature 242980;cg14176638;HSD17B3
feature 275756;cg23314972;MRPL23
feature 128297;cg19854293;SLC12A7
feature 308525;cg27465569;IRAK4
feature 128301;cg00551954;SLC12A7
feature 406839;cg12350474;null
feature 111922;cg08345040;CPZ
feature 144694;cg02722633;ARHGAP26
feature 390448;cg03221778;ZNF778
feature 62774;cg06499647;C2orf40
feature 13622;cg21291672;TMEM200B
feature 423229;cg01625242;GRP
feature 161086;cg02994187;null
feature 390459;cg03803102;null
feature 472389;cg14382318;CDPF1
feature 62787;cg04848426;UXS1
feature 62790;cg00295485;UXS1
feature 275789;cg03982897;null
feature 144715;cg22184990;ARHGAP26
feature 95562;cg02942644;TIMMDC1
feature 210255;cg24612707;HILPDA
feature 46414;cg11979846;ZNF124
feature 243027;cg02438545;CDC14B
feature 177490;cg16192707;null
feature 95572;cg17480641;TIMMDC1
feature 193876;cg07540326;null
feature 472400;cg06134567;PKDREJ
feature 341340;cg16683572;AKAP6
feature 79194;cg04284658;ESPNL
feature 128349;cg12993807;SLC12A7
feature 423258;cg07099161;RAX
feature 292186;cg10565270;FAM86C1
feature 177500;cg00849692;null
feature 423257;cg07835051;RAX
feature 111968;cg01227492;null
feature 79202;cg22532774;ESPNL
feature 374115;cg09950871;ADCY9
feature 324963;cg03782130;SFSWAP
feature 324972;cg05646575;SFSWAP
feature 111979;cg15959921;null
feature 341359;cg05646686;null
feature 111981;cg07674095;null
feature 30061;cg26426745;LOC100132111
feature 30062;cg19255477;LOC100132111
feature 456041;cg18088360;null
feature 341365;cg10460377;null
feature 111984;cg21160877;null
feature 111987;cg27201767;null
feature 423282;cg27535687;CPLX4
feature 275824;cg26350007;null
feature 144759;cg18998365;NR3C1
feature 46454;cg10531737;ZNF496
feature 144761;cg06952416;NR3C1
feature 161150;cg25293221;HLA-E
feature 95612;cg07382070;POPDC2
feature 341368;cg01935149;null
feature 374149;cg07906046;ADCY9
feature 62849;cg00910676;PLGLA
feature 324993;cg15832094;SFSWAP
feature 30086;cg11661235;THEM5
feature 341397;cg01123957;NPAS3
feature 390551;cg09776094;ANKRD11
feature 456081;cg04964562;PLCG1
feature 341404;cg07050194;NPAS3
feature 112029;cg17368632;null
feature 308633;cg04320595;RACGAP1P
feature 374170;cg23519329;ADCY9
feature 30111;cg18892537;S100A10
feature 46496;cg14413862;NLRP3
feature 62882;cg07515787;ST6GAL2
feature 390561;cg05780014;ANKRD11
feature 259495;cg00031402;PSAP
feature 161191;cg09569347;HLA-E
feature 62887;cg20513447;ST6GAL2
feature 30119;cg06698332;S100A10
feature 374189;cg02538852;SRL
feature 472495;cg21899777;CELSR1
feature 62890;cg12801256;ST6GAL2
feature 374191;cg10065739;SRL
feature 275886;cg25579157;H19
feature 341422;cg06816517;EGLN3
feature 357814;cg12386646;ITPKA
feature 456114;cg15557144;EMILIN3
feature 423344;cg23085662;null
feature 472497;cg06476549;CELSR1
feature 210356;cg26293015;CCDC136
feature 390578;cg04533078;ANKRD11
feature 472508;cg03610636;CELSR1
feature 161212;cg03234437;GNL1
feature 423352;cg03319695;CDH20
feature 308667;cg12686055;ANO6
feature 292283;cg06854487;NUMA1
feature 439750;cg15731991;LOC284412
feature 79296;cg21272465;LOC151174
feature 275910;cg04715572;null
feature 456130;cg14276730;CHD6
feature 390592;cg09420319;ANKRD11
feature 259526;cg06216634;CHST3
feature 13765;cg01941817;null
feature 46533;cg05639522;null
feature 357827;cg26589785;ITPKA
feature 95687;cg08797892;GPR156
feature 357839;cg27021986;LTK
feature 210376;cg15215155;FLNC
feature 357838;cg16374663;LTK
feature 226767;cg13733654;null
feature 357832;cg13163521;LTK
feature 128460;cg06748231;SLC12A7
feature 308683;cg20883194;ANO6
feature 259538;cg04768459;SPOCK2
feature 325077;cg10423427;MMP17
feature 472531;cg19206437;CELSR1
feature 210388;cg15904623;FLNC
feature 144853;cg25891639;KCTD16
feature 210394;cg27441228;FLNC
feature 259546;cg13997668;SPOCK2
feature 177624;cg18131626;null
feature 210392;cg26255089;FLNC
feature 79322;cg10976861;HES6
feature 194015;cg08604097;NXPH1
feature 144863;cg18991165;KCTD16
feature 30173;cg26685752;TCHH
feature 194012;cg09225457;NXPH1
feature 456153;cg14806773;null
feature 46560;cg17518550;GCSAML
feature 210401;cg14678430;FLNC
feature 177633;cg05512061;null
feature 46564;cg02788731;OR2G2
feature 259558;cg12752647;SPOCK2
feature 128487;cg04303439;null
feature 194021;cg15285250;NXPH1
feature 128486;cg08888487;null
feature 194027;cg24529280;NXPH1
feature 390638;cg07447015;ANKRD11
feature 456170;cg26105214;PTPRT
feature 177655;cg03120185;PRDM13
feature 275953;cg06676088;INS-IGF2
feature 439806;cg03233940;null
feature 62969;cg14772660;SLC5A7
feature 226808;cg13285846;null
feature 308731;cg17310654;SCAF11
feature 112128;cg16147221;SLC2A9
feature 112131;cg20566657;SLC2A9
feature 472581;cg26492175;GRAMD4
feature 226817;cg06458171;null
feature 472580;cg16617543;GRAMD4
feature 95749;cg20114394;FSTL1
feature 439810;cg25371549;ZNF569
feature 177671;cg06035531;PRDM13
feature 62981;cg25838818;SULT1C2
feature 390658;cg08595667;ANKRD11
feature 259593;cg12799885;null
feature 13835;cg06747288;null
feature 439830;cg17778441;ZNF570
feature 226833;cg14219543;null
feature 226839;cg19414967;null
feature 259606;cg13467950;DDIT4
feature 472594;cg27620176;GRAMD4
feature 177684;cg17302155;PRDM13
feature 226837;cg26393356;null
feature 95767;cg09896057;NDUFB4
feature 456222;cg15388309;L3MBTL1
feature 210463;cg00796821;KCP
feature 308773;cg02504521;SLC38A1
feature 292390;cg16922279;PHOX2A
feature 112163;cg24370881;WDR1
feature 30243;cg23726537;CRCT1
feature 243232;cg21157904;TRIM14
feature 276012;cg19443075;INS-IGF2
feature 13867;cg01566216;SDC3
feature 243240;cg01765174;TRIM14
feature 177705;cg01189783;MCHR2
feature 357934;cg17426184;MAPKBP1
feature 30252;cg23724738;LCE3E
feature 112172;cg06214716;WDR1
feature 194092;cg24491907;PHF14
feature 226865;cg15837830;null
feature 161328;cg25463483;PRR3
feature 292400;cg24313592;CLPB
feature 423475;cg25373630;BCL2
feature 374320;cg01485157;VASN
feature 308794;cg13591723;SLC38A2
feature 46654;cg11977100;OR2AK2
feature 46657;cg00938877;OR2L2
feature 276038;cg15168906;IGF2-AS
feature 357959;cg11526943;SPTBN5
feature 456260;cg02267756;SGK2
feature 63043;cg27633877;null
feature 46662;cg16717532;OR2L13
feature 259652;cg01452506;DNAJB12
feature 325196;cg01829662;EP400
feature 276046;cg12877935;IGF2-AS
feature 161353;cg02197677;ABCF1
feature 79434;cg21462633;null
feature 194126;cg23580662;THSD7A
feature 308810;cg19620086;SLC38A2
feature 276043;cg14895961;IGF2-AS
feature 46673;cg08261617;OR2M5
feature 161360;cg03239591;ABCF1
feature 128595;cg06593603;SLC6A19
feature 259671;cg11655691;MICU1
feature 13910;cg02100343;PUM1
feature 46680;cg20812354;OR2M2
feature 177754;cg20938346;SIM1
feature 325214;cg24274347;EP400
feature 177758;cg04859726;SIM1
feature 259679;cg17555806;null
feature 46685;cg07598464;OR2M3
feature 423512;cg05927017;null
feature 276059;cg03553386;IGF2
feature 112222;cg00292701;null
feature 177762;cg06386307;SIM1
feature 79459;cg07070824;null
feature 308838;cg15321306;null
feature 423525;cg19759864;KDSR
feature 439909;cg06296514;ZNF607
feature 407136;cg15117739;HOXB9
feature 423521;cg23613305;KDSR
feature 390765;cg03286774;SPG7
feature 46696;cg13385794;null
feature 308845;cg06021750;null
feature 276073;cg03128167;INS-IGF2
feature 357994;cg10437842;EHD4
feature 145008;cg02480199;null
feature 145015;cg11334165;null
feature 456304;cg11808514;GTSF1L
feature 161396;cg08057698;PPP1R10
feature 243317;cg13593548;COL15A1
feature 177785;cg22784386;SIM1
feature 374392;cg04091712;CDIP1
feature 423547;cg19043778;SERPINB5
feature 243325;cg14546062;COL15A1
feature 112255;cg11076814;null
feature 341627;cg10573403;INSM2
feature 46719;cg07834423;OR2T5
feature 177795;cg26796341;SIM1
feature 276101;cg21191514;TH
feature 439940;cg05606331;null
feature 13955;cg03895221;null
feature 308864;cg14671384;SLC38A4
feature 390787;cg00855299;SPG7
feature 390786;cg03740221;SPG7
feature 177797;cg01912955;SIM1
feature 374413;cg03684845;C16orf96
feature 112267;cg15081999;null
feature 112266;cg04427469;null
feature 46732;cg22673542;OR2T10
feature 210575;cg15447479;SMO
feature 177807;cg11471772;SIM1
feature 128656;cg06708198;SLC6A18
feature 292502;cg27090029;ARAP1
feature 276112;cg16003049;TH
feature 46740;cg17299007;OR2T27
feature 456339;cg16970323;TOX2
feature 112279;cg23399441;HS3ST1
feature 325276;cg09075307;EP400
feature 456350;cg16914370;JPH2
feature 46745;cg02637469;null
feature 243353;cg13787850;null
feature 374424;cg08819417;UBALD1
feature 325275;cg05629774;EP400
feature 341658;cg14975700;RALGAPA1
feature 358053;cg17721618;PLA2G4D
feature 30368;cg05440289;IVL
feature 292519;cg14476630;ARAP1
feature 112290;cg14820199;HS3ST1
feature 243367;cg04897621;NR4A3
feature 407201;cg16700282;null
feature 276140;cg08241307;null
feature 177839;cg16042259;null
feature 30384;cg04505023;SPRR1A
feature 292532;cg21714809;ARAP1
feature 456375;cg11321180;OSER1
feature 292534;cg07031551;ARAP1
feature 259760;cg04749667;FAM149B1
feature 243383;cg13422870;STX17
feature 112309;cg05521150;null
feature 210614;cg25969460;AHCYL2
feature 226998;cg03080142;null
feature 407216;cg20945566;PRAC1
feature 79543;cg01050266;null
feature 407217;cg27170782;PRAC1
feature 46782;cg22721468;SH3BP5L
feature 161475;cg27304199;MRPS18B
feature 145088;cg15021031;PPP2R2B
feature 161478;cg03955698;MRPS18B
feature 63173;cg03063658;SH3RF3
feature 46791;cg09397375;ZNF672
feature 440014;cg09007470;PPP1R14A
feature 456398;cg15287594;FITM2
feature 46792;cg19625216;ZNF672
feature 210639;cg14637927;null
feature 341719;cg13012916;SFTA3
feature 63187;cg19700035;SH3RF3
feature 63189;cg01886125;SH3RF3
feature 14041;cg23726483;TINAGL1
feature 325341;cg06698053;null
feature 325337;cg08111133;EP400NL
feature 95964;cg13960678;CASR
feature 341720;cg12207120;SFTA3
feature 14045;cg12206571;TINAGL1
feature 472792;cg06273376;FAM19A5
feature 292581;cg07297954;ATG16L2
feature 407268;cg18087672;null
feature 177889;cg24301620;GRIK2
feature 276204;cg02964724;ASCL2
feature 423662;cg25533423;DSEL
feature 341740;cg27294268;SFTA3
feature 390892;cg08690730;null
feature 407276;cg04262140;null
feature 194281;cg26986937;ETV1
feature 177903;cg04498418;GRIK2
feature 30446;cg14563787;LOR
feature 145133;cg22839587;DPYSL3
feature 30447;cg05001111;LOR
feature 79600;cg12877020;HDAC4
feature 210674;cg01666416;null
feature 341750;cg14290904;NKX2-1
feature 14068;cg24694743;HCRTR1
feature 325373;cg05802477;DDX51
feature 63226;cg19699170;null
feature 30462;cg03277515;PGLYRP4
feature 79617;cg18845578;HDAC4
feature 374534;cg09851072;ANKS3
feature 79620;cg00501242;HDAC4
feature 63238;cg18900271;MALL
feature 456462;cg25750259;TTPAL
feature 145163;cg02010196;null
feature 341775;cg01630690;null
feature 390921;cg05850404;DPEP1
feature 128781;cg26209169;null
feature 30477;cg15160801;S100A9
feature 456456;cg01997182;TTPAL
feature 358155;cg23276238;null
feature 112401;cg22560214;null
feature 440087;cg09999441;CATSPERG
feature 46867;cg23574281;FAM110C
feature 341779;cg18468354;null
feature 341778;cg15388804;null
feature 79641;cg03042666;HDAC4
feature 30488;cg21140628;null
feature 243482;cg13709913;GRIN3A
feature 341791;cg23705938;NKX2-8
feature 14107;cg09251959;COL16A1
feature 407322;cg02753187;CALCOCO2
feature 243487;cg18799510;GRIN3A
feature 341784;cg04326198;null
feature 210722;cg11627823;null
feature 30498;cg09174555;S100A8
feature 243489;cg14123942;GRIN3A
feature 292647;cg16287734;P2RY2
feature 177953;cg03002526;HACE1
feature 440096;cg01112965;CATSPERG
feature 161572;cg10182348;C6orf136
feature 390959;cg16725984;SPATA33
feature 161584;cg02434880;C6orf136
feature 177972;cg05513455;null
feature 79670;cg15713391;HDAC4
feature 325437;cg03476616;null
feature 243512;cg00202246;OR13C8
feature 210744;cg15314588;null
feature 440125;cg01275006;GGN
feature 259903;cg05697785;SYNPO2L
feature 145215;cg26985922;SCGB3A2
feature 472889;cg24734347;null
feature 79678;cg16439798;HDAC4
feature 374586;cg10274950;ZNF500
feature 128833;cg19915256;CLPTM1L
feature 456519;cg20620147;KCNK15
feature 177984;cg22620090;null
feature 210759;cg01282418;UBE2H
feature 341824;cg14007757;null
feature 472909;cg24227397;null
feature 194380;cg09972618;ISPD
feature 46927;cg25710298;FAM150B
feature 161616;cg02953457;DHX16
feature 472916;cg05211267;null
feature 341841;cg14181527;null
feature 161621;cg13411122;DHX16
feature 423761;cg12205742;null
feature 194395;cg06363129;SOSTDC1
feature 46937;cg18642499;FAM150B
feature 161628;cg11392995;DHX16
feature 227164;cg05965392;FAM150A
feature 276324;cg26141385;null
feature 472928;cg13481126;null
feature 46956;cg15553342;null
feature 46959;cg24737408;null
feature 440182;cg11288278;RYR1
feature 472951;cg07280182;null
feature 423798;cg21922574;NETO1
feature 210807;cg15919924;null
feature 259959;cg04320760;FUT11
feature 309105;cg10502244;COL2A1
feature 46968;cg15909393;null
feature 440188;cg06740600;RYR1
feature 227193;cg26205771;NPBWR1
feature 14204;cg21545720;PTP4A2
feature 210812;cg01935436;null
feature 440185;cg27049517;RYR1
feature 128897;cg02688422;SLC6A3
feature 128899;cg07392358;SLC6A3
feature 259975;cg27048208;CHCHD1
feature 210820;cg19425554;TMEM209
feature 145290;cg10449489;null
feature 128905;cg08943004;SLC6A3
feature 96141;cg25439655;SEMA5B
feature 210829;cg16489360;TMEM209
feature 456599;cg01487386;KCNS1
feature 178067;cg06535003;null
feature 292757;cg19319487;FAM168A
feature 96146;cg18419070;SEMA5B
feature 178069;cg17947364;null
feature 456593;cg02344078;STK4
feature 423838;cg23780514;CYB5A
feature 472986;cg17476320;null
feature 440216;cg02453828;RYR1
feature 276378;cg26382697;CD81
feature 276388;cg03713609;CD81
feature 178082;cg11045198;null
feature 178083;cg03875496;null
feature 145318;cg12960696;SH3TC2
feature 374688;cg16344234;SEC14L5
feature 112548;cg07808087;CPEB2
feature 260015;cg05379597;CAMK2G
feature 309172;cg20954987;CCDC184
feature 309174;cg15959252;CCDC184
feature 63410;cg21034784;ANAPC1
feature 178103;cg05575614;null
feature 309171;cg07454491;CCDC184
feature 210877;cg05426601;CPA1
feature 440249;cg07501988;MAP4K1
feature 30656;cg09366641;ILF2
feature 178115;cg19749916;null
feature 374721;cg02968301;C16orf89
feature 79813;cg09681977;HDAC4
feature 243655;cg14320054;null
feature 325570;cg16563691;GALNT9
feature 456652;cg14609407;SLPI
feature 63440;cg05979619;MERTK
feature 276436;cg02485697;TSSC4
feature 325590;cg12161887;GALNT9
feature 79829;cg19324997;HDAC4
feature 341971;cg03015370;FOXA1
feature 227284;cg18518909;ATP6V1H
feature 309203;cg03200309;H1FNT
feature 473054;cg00417807;BRD1
feature 30681;cg14178748;NPR1
feature 456669;cg07063463;MATN4
feature 325599;cg16443954;GALNT9
feature 358361;cg12220871;ZSCAN29
feature 128990;cg17685115;LPCAT1
feature 47071;cg09675484;null
feature 456678;cg14921939;MATN4
feature 473061;cg22330533;BRD1
feature 112610;cg16359663;CC2D2A
feature 14308;cg23885562;IQCC
feature 14309;cg19721787;IQCC
feature 30694;cg03423916;null
feature 292844;cg23020660;null
feature 79859;cg05903736;HDAC4
feature 178160;cg16567330;null
feature 456692;cg00028844;MATN4
feature 30710;cg14215105;INTS3
feature 407537;cg06315439;null
feature 112635;cg16032428;null
feature 79869;cg27168632;HDAC4
feature 342009;cg19181162;null
feature 456699;cg14759366;RBPJL
feature 210942;cg02756856;MESTIT1
feature 79873;cg10018933;HDAC4
feature 456711;cg17282161;SDC4
feature 129027;cg05538406;LPCAT1
feature 473088;cg02550151;BRD1
feature 358413;cg15159104;MAP1A
feature 210954;cg06100421;MESTIT1
feature 210952;cg09003373;MESTIT1
feature 325641;cg26032151;GALNT9
feature 145426;cg02529358;CARMN
feature 325652;cg03952361;GALNT9
feature 210962;cg04678950;MEST
feature 194582;cg09494378;null
feature 374803;cg06447474;RBFOX1
feature 473105;cg19051861;null
feature 129046;cg20962974;LPCAT1
feature 391199;cg02025435;MC1R
feature 14364;cg14167389;MTMR9LP
feature 178207;cg27632402;null
feature 129057;cg19101154;LPCAT1
feature 309284;cg27036740;CCNT1
feature 227364;cg19906599;LYPLA1
feature 260137;cg27102629;null
feature 292911;cg26119740;C2CD3
feature 260143;cg15874302;null
feature 342058;cg16404157;CLEC14A
feature 407593;cg20413441;NGFR
feature 30768;cg02907556;DENND4B
feature 276532;cg03600094;KCNQ1
feature 243763;cg13531977;EPB41L4B
feature 374836;cg00853103;RBFOX1
feature 423988;cg26385618;SMIM21
